district,lake_and_remark
Sindhupalchowk,Panch pokhari
Sindhupalchowk,Bahula pokhari
Arghakhanchi,Thada Daha
Arghakhanchi,Sanglen Daha
Arghakhanchi,Rata Pokhari
Baglung,Gaja Daha
Baglung,Baraha Pokhari
Gorkha,Ghunchok Pokhari
Gorkha,Tal Pokhari
Gorkha,Thulo Pokhari
Gorkha,Mahendra Taal
Gorkha,Kalchuman Taal
Gorkha,Birendra Lake
Gorkha,Rani Pokhari
Lumbini,Gajedi Taal
Lumbini,Kanchan khola
Kaski,Aalaiche Pokhari
Kaski,Bage Pokhari
Kaski,Barna Pokhari
Kaski,Begnas Tal
Kaski,Dipang lake
Kaski,Gunde Tal
Kaski,Kamal Pokhari
Kaski,Khaste Tal
Kaski,Maidi Tal
Kaski,Naya Pokhari
Kaski,Neureni Tal
Kaski,Phewa Tal
Kaski,Rani Pokhari
Kaski,Rupa Tal
Kaski,Sani Pokhari
Kaski,Siddi Pokhari
Kaski,Thulo Pokhari
Lamjung,Damrang Pokhari
Lamjung,Deurali Sano Pokhari
Lamjung,Deurali Thulo Pokhari
Lamjung,Ilam Pokhari
Lamjung,Murunje Pokhari
Lamjung,Siddi Pokhari
Lamjung,Tinghare Thulo Pokhari
Lamjung,Ulgera Pokhari
Lamjung,Baraha Pokhari
Manang,Tilicho lake
Manang,Gangapurna lake
Manang,Dhumba lake
Manang,Kajin Sara
Manang,dhumba lake
Manang,Titi Lake
Manang,murchaute lake
Manang,sakum lake
Myagdi,Khair barahi tal
Nawalparasi,Amar Pokhari
Nawalparasi,Bauliya
Nawalparasi,Buddha Mangal Tal
Nawalparasi,Devdaha Pokhari
Nawalparasi,Dhanewa Pokhari
Nawalparasi,Gaida Tal
Nawalparasi,Hadahiya Tal
Nawalparasi,Java Pokhari
Nawalparasi,Kamal Pokhari
Nawalparasi,Loharauli Pokhari
Nawalparasi,Pani Pokhari
Nawalparasi,Pokhara (Jeetpur)
Nawalparasi,Pokhara (Kushma)
Nawalparasi,Pokhara (Patkauli)
Nawalparasi,Pokhari (Pali)
Nawalparasi,Pokhari (Devgaun)
Nawalparasi,Pokhari Tal (Mahuwari)
Nawalparasi,Purnahawa Pokhari
Nawalparasi,Sagada Pokhari
Nawalparasi,Sanischare
Nawalparasi,Sisani Pokhari
Nawalparasi,Swathi Pokhari
Nawalparasi,Thulo Pokhari
Nawalparasi,Nanda Vauju Tal
Palpa,Kamal Pokhari
Palpa,Satyawati Tal
Gulmi,Timure Tal
Gulmi,dibrung daha
Parbat,Patle Kharka Pokhari
Parbat,Sani Pokhari
Parbat,Thulo Pokhari
Rupandehi,Badki Gaddha Pokhari
Rupandehi,Bangai Pokhari
Rupandehi,Bhanaiya
Rupandehi,Bhelai Pokhari
Rupandehi,Dube Pokhari
Rupandehi,Gaidahawa Tal
Rupandehi,Gajedi Tal
Rupandehi,Ganwariya Tal
Rupandehi,Gidhiya Pokhari
Rupandehi,Jamuhani Pokhari
Rupandehi,Jamuhani Pokhari
Rupandehi,Karauta Pokhari
Rupandehi,Kurmindihawa
Rupandehi,Kuttwa Pokhari
Rupandehi,Majhagawa Pokhari
Rupandehi,Mohamadnagar Pokhari
Rupandehi,Nala Pokhari
Rupandehi,Paschim Pokhari
Rupandehi,Pipari Pokhari
Rupandehi,Purba Pokhari
Rupandehi,Rayapur Tal
Rupandehi,Rohinihawa Tal
Rupandehi,Sagrahawa Tal
Rupandehi,Shankarpur Pokhari
Rupandehi,Sisausemara Tal
Rupandehi,Tareni Pokhari
Rupandehi,Tiger Top Tal
Rupandehi,Tiwari Kataiya Pokhari
Rupandehi,Thulo Pokhara
Rupandehi,Yekladih Pokhari
Syangja,Panchase taal
Tanahu,Marshyangdi Reservoir
Dolpa,Phoksundo Lake
Dolpa,Pritha Daha
Dolpa,Jagadulla
Humla,Salima tsho
Jajarkot,None
Jumla,Jumla
Jumla,Giri daha
Jumla,Thakurjyu daha
Jumla,Sanka daha
Jumla,Bistajyu daha
Kalikot,None
Mugu,Rara Lake
Mugu,Dudh Tal
Pyuthan,Shiva-Jamuna Pokhari (majpokhara)
Rolpa,None
Rukum,Syarphu Taal
Rukum,Kamal Taal
Rukum,Chhipri Dah
Rukum,Thuli Dah
Salyan,Kubinde Daha
Salyan,Kachuwa Daha
Kailali,Jakhaur/Jokhar Tal(Dhangadhi)
Kailali,Ghodaghodi Tal (Ramsar Site)
Kailali,Machheli River(Godawari Seti)
Kanchanpur,Jhilmila Tal
Kanchanpur,Bedkot Tal
Kanchanpur,Mudka Tal
Kanchanpur,Rani Tal
Kanchanpur,Sundeu Tal
Kanchanpur,Kamal pokhari Daijee
