,,,,,,
S.N.,Developers,Projects,Location,Installed Capacity (kW),PPA Date,Required Commercial Operation Date
78,Perfect Energy Development  Pvt. Ltd,Middle Trishuli Ganga,Nuwakot,19410,2080.02.17,2075.09.03
79,Kabeli Hydropower Company Pvt.Ltd.,Kabeli-3,Taplejung,21930,2079.09.01,2075.10.03
80,Union Mewa Hydro Ltd.,Mewa Khola,Taplejung,23000,2080.09.15,2075.10.04
81,North Summit Hydro Pvt. Ltd.,Hidi Khola,Lamjung,6820,2080.05.15,2075.10.04
82,Sajha Power Development Pvt. Ltd.,Lower Balephi,Sindhupalchowk,20000,2080.07.18,2075.10.06
83,Sindhujwala Hydropower Ltd.,Upper Nyasem Khola A,Sindhupalchowk,21000,2079.03.30,2075.10.06
84,Mount Rasuwa Hydropower Pvt. Ltd.,Midim 1 Khola,Lamjung,13424,2080.04.04,2075.10.07
85,Habitat Power Company Pvt. Ltd,Hewa Khola “A”,Panchthar,5000,2078.04.01,2075.10.07
86,Ruby Valley Hydropower Company Ltd,Menchet Khola,Dhading,7000,2080.02.13,2075.10.15
87,Dudhpokhari Chepe Hydropower Pvt. Ltd.,Dudhpokhari Chepe,Gorkha,8800,2080.01.28,2075.10.15
88,Maa Shakti Engineering & hydropower Pvt. Ltd.,Luja Khola,Solukhumbu,23550,2080.11.14,2075.10.16
89,Sankhuwasabha Power Development Pvt. Ltd.,Super Sabha Khola,Sankhuwasabha,4100,2080.06.03,2075.10.23
90,Hilton Hydro Energy Pvt. Ltd.,Super Kabeli,Taplejung,12000,2079.10.04,2075.11.02
91,Snow Rivers Pvt. Ltd.,Super Kabeli A,Taplejung,13500,2080.01.01,2075.11.02
92,Jal Urja Pvt. Ltd.,Nuagad,Darchula,1000,2078.10.22,2075.11.03
93,Champawati Hydropower Pvt. Ltd,Chepe khola A,Lamjung,7000,2079.04.04,2075.11.07
94,Api Power Company Ltd.,Upper Chameliya,Darchula,40000,2079.11.13,2075.11.15
95,Barpak Daruadi Hydropower Pvt. Ltd.,Middle Super Daraudi,Gorkha,10000,2080.03.01,2075.11.23
96,Helambu Construction Pvt. Ltd,Ksumti khola,Sindhupalchowk,683,2078.03.04,2075.11.29
97,River Side Hydro Energy Pvt. Ltd.,Tamor Khola-5,Taplejung,37520,2080.04.10,2075.12.04
98,Hydro Connection Pvt. Ltd.,Rauje Khola,Solukhumbu,17712,2080.10.15,2075.12.04
99,Milke Jaljale Hydropower Pvt.Ltd.,Upper Piluwa Hills,Sankhuwasabha,4990,2081.04.04,2075.12.04
100,Ambe Hydropower Pvt. Ltd.,Upper Bhurundi,Parbat,3750,2079.04.16,2075.12.10
101,Orbit Energy Pvt. Ltd.,Sabha Khola C,Sankhuwasabha,4196,2079.04.02,2075.12.10
102,Mabilung Energy (P.) Ltd,Upper  Piluwa Khola -3,Sankhuwasabha,4950,2078.11.16,2075.12.12
103,Raghuganga Hydropower Ltd.,Rahughat,Myagdi,40000,2079.10.17,2075.12.18
104,Ridge Line Energy Pvt. Ltd.,Super Chepe,Gorkha Lamjung,9050,2079.05.20,2075.12.19
105,Dhaulagiri Civil Electrical and Mechanical Engineering Pvt. Ltd.,Madhya Daram Khola A,Baglung,3000,2077.12.31,2075.12.26
106,Dhaulagiri Civil Electrical and Mechanical Engineering Pvt. Ltd.,Madhya Daram Khola B,Baglung,4500,2078.02.31,2075.12.26
107,Bhalaudi Khola Hydropower Pvt. Ltd.,Bhalaudi Khola,Kaski,2645,2080.04.16,2076.01.06
108,Kalika Construction Pvt. Ltd.,Upper Daraudi B,Gorkha,8300,2080.09.15,2076.01.09
109,Kalika Construction Pvt. Ltd.,Upper Daraudi C,Gorkha,9820,2080.09.15,2076.01.09
110,Super Khudi Hydropower Pvt. Ltd.,Upper Khudi,Lamjung,21210,2080.10.09,2076.01.11
111,National Solar Power Co. Pvt. Ltd.,Grid Connected Solar PV Project (VGF),Nawalparasi,5000,2077.08.22,2076.11.23
112,Nepal Solar Farm Pvt. Ltd.,Som RadhaKrishna Solar Farm Project (VGF),Kaski,4000,2077.03.16,2076.11.23
