# Lakes of Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: https://en.wikipedia.org/wiki/List_of_lakes_of_Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achham,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patari,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purni,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rajdevi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bhabari,baisakha,dah,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solukhumbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phurke,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suke,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gokyo,Lake,Series,(Ramsar,Site),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barju,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daita,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Magar,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ra-Sa,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ramdhuni,in,ikrai(Rupesh,Gupta's,village),Sunsari.,,,,,,,,,,,,,,,,,,,,,,
,Taal,"Talaiya,",Itahari,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taplejung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kali,Pokhari,'A',,,,,,,,,,,,,,,,,,,,,,,,,
,Kali,Pokhari,'B',,,,,,,,,,,,,,,,,,,,,,,,,
,Suke,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehrathum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chichiling,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panchakanya,Chhather,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,
,Mudke,Aahal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marga,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udayapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belha,Gavi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dhar,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rautamai,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taple,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathmandu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gahana,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
